city,care_quotient,pillar,metric,raw_value,raw_unit,benchmark,score_0_100,source,vintage
pittsburgh,68.2,Economic Access to Care,SNAP Coverage Score (0-100),58.24,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),68.5,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
boston,67.2,Social & Relational Care,Care Nonprofits Score (0-100),11.5,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",46.0,IRS Exempt Organizations Business Master File (EO BMF),April 2026
boston,67.2,Institutional Care,Child Care Capacity Score (0-100),5.54,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",36.9,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
boston,67.2,Institutional Care,FQHC Density Score (0-100),10.51,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",70.1,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
boston,67.2,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
boston,67.2,Economic Access to Care,Housing Affordability Score (0-100),58.03,% of households not spending >30% of income on housing,90% not cost-burdened,64.5,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
boston,67.2,Social & Relational Care,Library Density Score (0-100),3.55,"public library outlets per 100,000 residents","5 per 100,000",71.0,IMLS Public Libraries Survey,FY2023
boston,67.2,Institutional Care,Nursing Home Capacity Score (0-100),25.01,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",50.0,CMS Care Compare — Nursing Home Provider Information,April 2026
boston,67.2,Social & Relational Care,Religious Institution Density Score (0-100),62.16,"congregations per 100,000 residents","150 per 100,000",41.4,ARDA U.S. Religion Census,2020
boston,67.2,Social & Relational Care,Residential Stability Score (0-100),80.39,% of population in same home 1+ year,95%,84.6,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
boston,67.2,Economic Access to Care,SNAP Coverage Score (0-100),72.01,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),84.7,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
minneapolis,66.4,Social & Relational Care,Care Nonprofits Score (0-100),10.94,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",43.8,IRS Exempt Organizations Business Master File (EO BMF),April 2026
minneapolis,66.4,Institutional Care,Child Care Capacity Score (0-100),5.31,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",35.4,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
minneapolis,66.4,Institutional Care,FQHC Density Score (0-100),7.22,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",48.1,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
minneapolis,66.4,Economic Access to Care,Healthcare Coverage Score (0-100),97.34,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),97.3,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
minneapolis,66.4,Economic Access to Care,Housing Affordability Score (0-100),65.98,% of households not spending >30% of income on housing,90% not cost-burdened,73.3,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
minneapolis,66.4,Social & Relational Care,Library Density Score (0-100),3.72,"public library outlets per 100,000 residents","5 per 100,000",74.4,IMLS Public Libraries Survey,FY2023
minneapolis,66.4,Institutional Care,Nursing Home Capacity Score (0-100),44.03,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",88.1,CMS Care Compare — Nursing Home Provider Information,April 2026
minneapolis,66.4,Social & Relational Care,Religious Institution Density Score (0-100),70.69,"congregations per 100,000 residents","150 per 100,000",47.1,ARDA U.S. Religion Census,2020
minneapolis,66.4,Social & Relational Care,Residential Stability Score (0-100),77.5,% of population in same home 1+ year,95%,81.6,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
minneapolis,66.4,Economic Access to Care,SNAP Coverage Score (0-100),49.54,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),58.3,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
atlanta,66.3,Social & Relational Care,Care Nonprofits Score (0-100),21.5,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",86.0,IRS Exempt Organizations Business Master File (EO BMF),April 2026
atlanta,66.3,Institutional Care,Child Care Capacity Score (0-100),5.07,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",33.8,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
atlanta,66.3,Institutional Care,FQHC Density Score (0-100),4.81,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",32.1,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
atlanta,66.3,Economic Access to Care,Healthcare Coverage Score (0-100),66.84,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),66.8,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
atlanta,66.3,Economic Access to Care,Housing Affordability Score (0-100),63.64,% of households not spending >30% of income on housing,90% not cost-burdened,70.7,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
atlanta,66.3,Social & Relational Care,Library Density Score (0-100),4.41,"public library outlets per 100,000 residents","5 per 100,000",88.2,IMLS Public Libraries Survey,FY2023
atlanta,66.3,Institutional Care,Nursing Home Capacity Score (0-100),34.08,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",68.2,CMS Care Compare — Nursing Home Provider Information,April 2026
atlanta,66.3,Social & Relational Care,Religious Institution Density Score (0-100),76.68,"congregations per 100,000 residents","150 per 100,000",51.1,ARDA U.S. Religion Census,2020
atlanta,66.3,Social & Relational Care,Residential Stability Score (0-100),80.79,% of population in same home 1+ year,95%,85.0,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
atlanta,66.3,Economic Access to Care,SNAP Coverage Score (0-100),55.2,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),64.9,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
chicago,66.3,Social & Relational Care,Care Nonprofits Score (0-100),8.46,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",33.8,IRS Exempt Organizations Business Master File (EO BMF),April 2026
chicago,66.3,Institutional Care,Child Care Capacity Score (0-100),5.13,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",34.2,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
chicago,66.3,Institutional Care,FQHC Density Score (0-100),7.19,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",47.9,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
chicago,66.3,Economic Access to Care,Healthcare Coverage Score (0-100),95.55,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),95.5,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
chicago,66.3,Economic Access to Care,Housing Affordability Score (0-100),60.78,% of households not spending >30% of income on housing,90% not cost-burdened,67.5,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
chicago,66.3,Social & Relational Care,Library Density Score (0-100),3.0,"public library outlets per 100,000 residents","5 per 100,000",60.0,IMLS Public Libraries Survey,FY2023
chicago,66.3,Institutional Care,Nursing Home Capacity Score (0-100),41.55,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",83.1,CMS Care Compare — Nursing Home Provider Information,April 2026
chicago,66.3,Social & Relational Care,Religious Institution Density Score (0-100),66.99,"congregations per 100,000 residents","150 per 100,000",44.7,ARDA U.S. Religion Census,2020
chicago,66.3,Social & Relational Care,Residential Stability Score (0-100),85.47,% of population in same home 1+ year,95%,90.0,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
chicago,66.3,Economic Access to Care,SNAP Coverage Score (0-100),70.19,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),82.6,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
st_paul,66.0,Social & Relational Care,Care Nonprofits Score (0-100),11.56,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",46.2,IRS Exempt Organizations Business Master File (EO BMF),April 2026
st_paul,66.0,Institutional Care,Child Care Capacity Score (0-100),3.42,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",22.8,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
st_paul,66.0,Institutional Care,FQHC Density Score (0-100),7.06,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",47.1,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
st_paul,66.0,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
st_paul,66.0,Economic Access to Care,Housing Affordability Score (0-100),66.64,% of households not spending >30% of income on housing,90% not cost-burdened,74.0,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
st_paul,66.0,Social & Relational Care,Library Density Score (0-100),4.49,"public library outlets per 100,000 residents","5 per 100,000",89.8,IMLS Public Libraries Survey,FY2023
st_paul,66.0,Institutional Care,Nursing Home Capacity Score (0-100),35.07,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",70.1,CMS Care Compare — Nursing Home Provider Information,April 2026
st_paul,66.0,Social & Relational Care,Religious Institution Density Score (0-100),75.86,"congregations per 100,000 residents","150 per 100,000",50.6,ARDA U.S. Religion Census,2020
st_paul,66.0,Social & Relational Care,Residential Stability Score (0-100),83.24,% of population in same home 1+ year,95%,87.6,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
st_paul,66.0,Economic Access to Care,SNAP Coverage Score (0-100),57.67,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),67.8,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
portland,65.7,Social & Relational Care,Care Nonprofits Score (0-100),8.64,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",34.6,IRS Exempt Organizations Business Master File (EO BMF),April 2026
portland,65.7,Institutional Care,Child Care Capacity Score (0-100),9.92,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",66.1,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
portland,65.7,Institutional Care,FQHC Density Score (0-100),8.28,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",55.2,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
portland,65.7,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
portland,65.7,Economic Access to Care,Housing Affordability Score (0-100),62.35,% of households not spending >30% of income on housing,90% not cost-burdened,69.3,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
portland,65.7,Social & Relational Care,Library Density Score (0-100),2.45,"public library outlets per 100,000 residents","5 per 100,000",49.0,IMLS Public Libraries Survey,FY2023
portland,65.7,Institutional Care,Nursing Home Capacity Score (0-100),24.65,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",49.3,CMS Care Compare — Nursing Home Provider Information,April 2026
portland,65.7,Social & Relational Care,Religious Institution Density Score (0-100),79.34,"congregations per 100,000 residents","150 per 100,000",52.9,ARDA U.S. Religion Census,2020
portland,65.7,Social & Relational Care,Residential Stability Score (0-100),82.82,% of population in same home 1+ year,95%,87.2,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
portland,65.7,Economic Access to Care,SNAP Coverage Score (0-100),71.12,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),83.7,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
buffalo,65.1,Social & Relational Care,Care Nonprofits Score (0-100),9.7,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",38.8,IRS Exempt Organizations Business Master File (EO BMF),April 2026
buffalo,65.1,Institutional Care,Child Care Capacity Score (0-100),4.92,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",32.8,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
buffalo,65.1,Institutional Care,FQHC Density Score (0-100),4.67,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",31.1,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
buffalo,65.1,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
buffalo,65.1,Economic Access to Care,Housing Affordability Score (0-100),64.28,% of households not spending >30% of income on housing,90% not cost-burdened,71.4,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
buffalo,65.1,Social & Relational Care,Library Density Score (0-100),3.95,"public library outlets per 100,000 residents","5 per 100,000",79.0,IMLS Public Libraries Survey,FY2023
buffalo,65.1,Institutional Care,Nursing Home Capacity Score (0-100),37.78,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",75.6,CMS Care Compare — Nursing Home Provider Information,April 2026
buffalo,65.1,Social & Relational Care,Religious Institution Density Score (0-100),76.5,"congregations per 100,000 residents","150 per 100,000",51.0,ARDA U.S. Religion Census,2020
buffalo,65.1,Social & Relational Care,Residential Stability Score (0-100),85.6,% of population in same home 1+ year,95%,90.1,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
buffalo,65.1,Economic Access to Care,SNAP Coverage Score (0-100),75.42,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),88.7,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
stockton,64.8,Social & Relational Care,Care Nonprofits Score (0-100),3.77,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",15.1,IRS Exempt Organizations Business Master File (EO BMF),April 2026
stockton,64.8,Institutional Care,Child Care Capacity Score (0-100),2.27,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",15.1,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
stockton,64.8,Institutional Care,FQHC Density Score (0-100),6.86,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",45.7,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
stockton,64.8,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
stockton,64.8,Economic Access to Care,Housing Affordability Score (0-100),57.26,% of households not spending >30% of income on housing,90% not cost-burdened,63.6,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
stockton,64.8,Social & Relational Care,Library Density Score (0-100),2.5,"public library outlets per 100,000 residents","5 per 100,000",50.0,IMLS Public Libraries Survey,FY2023
stockton,64.8,Institutional Care,Nursing Home Capacity Score (0-100),49.01,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",98.0,CMS Care Compare — Nursing Home Provider Information,April 2026
stockton,64.8,Social & Relational Care,Religious Institution Density Score (0-100),63.4,"congregations per 100,000 residents","150 per 100,000",42.3,ARDA U.S. Religion Census,2020
stockton,64.8,Social & Relational Care,Residential Stability Score (0-100),88.73,% of population in same home 1+ year,95%,93.4,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
stockton,64.8,Economic Access to Care,SNAP Coverage Score (0-100),82.02,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),96.5,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
philadelphia,64.5,Social & Relational Care,Care Nonprofits Score (0-100),8.92,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",35.7,IRS Exempt Organizations Business Master File (EO BMF),April 2026
philadelphia,64.5,Institutional Care,Child Care Capacity Score (0-100),7.52,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",50.1,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
philadelphia,64.5,Institutional Care,FQHC Density Score (0-100),4.68,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",31.2,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
philadelphia,64.5,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
philadelphia,64.5,Economic Access to Care,Housing Affordability Score (0-100),61.31,% of households not spending >30% of income on housing,90% not cost-burdened,68.1,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
philadelphia,64.5,Social & Relational Care,Library Density Score (0-100),3.24,"public library outlets per 100,000 residents","5 per 100,000",64.8,IMLS Public Libraries Survey,FY2023
philadelphia,64.5,Institutional Care,Nursing Home Capacity Score (0-100),33.04,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",66.1,CMS Care Compare — Nursing Home Provider Information,April 2026
philadelphia,64.5,Social & Relational Care,Religious Institution Density Score (0-100),81.62,"congregations per 100,000 residents","150 per 100,000",54.4,ARDA U.S. Religion Census,2020
philadelphia,64.5,Social & Relational Care,Residential Stability Score (0-100),86.12,% of population in same home 1+ year,95%,90.7,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
philadelphia,64.5,Economic Access to Care,SNAP Coverage Score (0-100),78.89,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),92.8,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
milwaukee,64.0,Social & Relational Care,Care Nonprofits Score (0-100),9.2,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",36.8,IRS Exempt Organizations Business Master File (EO BMF),April 2026
milwaukee,64.0,Institutional Care,Child Care Capacity Score (0-100),8.18,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",54.5,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
milwaukee,64.0,Institutional Care,FQHC Density Score (0-100),6.93,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",46.2,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
milwaukee,64.0,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
milwaukee,64.0,Economic Access to Care,Housing Affordability Score (0-100),60.08,% of households not spending >30% of income on housing,90% not cost-burdened,66.8,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
milwaukee,64.0,Social & Relational Care,Library Density Score (0-100),2.77,"public library outlets per 100,000 residents","5 per 100,000",55.4,IMLS Public Libraries Survey,FY2023
milwaukee,64.0,Institutional Care,Nursing Home Capacity Score (0-100),22.66,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",45.3,CMS Care Compare — Nursing Home Provider Information,April 2026
milwaukee,64.0,Social & Relational Care,Religious Institution Density Score (0-100),83.88,"congregations per 100,000 residents","150 per 100,000",55.9,ARDA U.S. Religion Census,2020
milwaukee,64.0,Social & Relational Care,Residential Stability Score (0-100),85.35,% of population in same home 1+ year,95%,89.8,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
milwaukee,64.0,Economic Access to Care,SNAP Coverage Score (0-100),74.13,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),87.2,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
san_francisco,64.0,Social & Relational Care,Care Nonprofits Score (0-100),7.86,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",31.4,IRS Exempt Organizations Business Master File (EO BMF),April 2026
san_francisco,64.0,Institutional Care,Child Care Capacity Score (0-100),10.88,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",72.5,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
san_francisco,64.0,Institutional Care,FQHC Density Score (0-100),9.15,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",61.0,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
san_francisco,64.0,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
san_francisco,64.0,Economic Access to Care,Housing Affordability Score (0-100),66.38,% of households not spending >30% of income on housing,90% not cost-burdened,73.8,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
san_francisco,64.0,Social & Relational Care,Library Density Score (0-100),3.78,"public library outlets per 100,000 residents","5 per 100,000",75.6,IMLS Public Libraries Survey,FY2023
san_francisco,64.0,Institutional Care,Nursing Home Capacity Score (0-100),16.34,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",32.7,CMS Care Compare — Nursing Home Provider Information,April 2026
san_francisco,64.0,Social & Relational Care,Religious Institution Density Score (0-100),61.33,"congregations per 100,000 residents","150 per 100,000",40.9,ARDA U.S. Religion Census,2020
san_francisco,64.0,Social & Relational Care,Residential Stability Score (0-100),84.67,% of population in same home 1+ year,95%,89.1,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
san_francisco,64.0,Economic Access to Care,SNAP Coverage Score (0-100),50.8,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),59.8,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
birmingham,63.5,Social & Relational Care,Care Nonprofits Score (0-100),9.61,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",38.4,IRS Exempt Organizations Business Master File (EO BMF),April 2026
birmingham,63.5,Institutional Care,Child Care Capacity Score (0-100),3.88,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",25.9,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
birmingham,63.5,Institutional Care,FQHC Density Score (0-100),8.48,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",56.5,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
birmingham,63.5,Economic Access to Care,Healthcare Coverage Score (0-100),77.79,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),77.8,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
birmingham,63.5,Economic Access to Care,Housing Affordability Score (0-100),58.61,% of households not spending >30% of income on housing,90% not cost-burdened,65.1,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
birmingham,63.5,Social & Relational Care,Library Density Score (0-100),7.54,"public library outlets per 100,000 residents","5 per 100,000",100.0,IMLS Public Libraries Survey,FY2023
birmingham,63.5,Institutional Care,Nursing Home Capacity Score (0-100),31.25,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",62.5,CMS Care Compare — Nursing Home Provider Information,April 2026
birmingham,63.5,Social & Relational Care,Religious Institution Density Score (0-100),178.15,"congregations per 100,000 residents","150 per 100,000",100.0,ARDA U.S. Religion Census,2020
birmingham,63.5,Social & Relational Care,Residential Stability Score (0-100),81.73,% of population in same home 1+ year,95%,86.0,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
birmingham,63.5,Economic Access to Care,SNAP Coverage Score (0-100),58.45,estimated SNAP participation rate among likely-eligible households (0-149% FPL),85% (USDA FNS national target),68.8,"U.S. Census Bureau, ACS 5-year estimates (B22001, C17002)",2022 (2018-2022 pooled)
sacramento,63.3,Social & Relational Care,Care Nonprofits Score (0-100),12.86,"organizations per 10,000 residents (NTEE P+E+F+K)","25 per 10,000",51.4,IRS Exempt Organizations Business Master File (EO BMF),April 2026
sacramento,63.3,Institutional Care,Child Care Capacity Score (0-100),3.49,"licensed child care establishments per 1,000 children under 5","15 per 1,000 children under 5",23.3,"U.S. Census Bureau, County Business Patterns (NAICS 624410)",2022
sacramento,63.3,Institutional Care,FQHC Density Score (0-100),8.0,"Federally Qualified Health Centers per 100,000 residents","15 per 100,000",53.3,HRSA Health Center Service Delivery and Look-Alike Sites,2025/2026
sacramento,63.3,Economic Access to Care,Healthcare Coverage Score (0-100),100.0,ACS-based coverage rate among 0-149% FPL residents (Medicaid/CHIP),100% (note: 31 of 69 cities hit ceiling due to CHIP enrollment above FPL denominator),100.0,"U.S. Census Bureau, ACS 5-year estimates (C27007, C17002)",2022 (2018-2022 pooled)
sacramento,63.3,Economic Access to Care,Housing Affordability Score (0-100),59.71,% of households not spending >30% of income on housing,90% not cost-burdened,66.3,"U.S. Census Bureau, ACS 5-year estimates (B25070, B25091)",2022 (2018-2022 pooled)
sacramento,63.3,Social & Relational Care,Library Density Score (0-100),3.05,"public library outlets per 100,000 residents","5 per 100,000",61.0,IMLS Public Libraries Survey,FY2023
sacramento,63.3,Institutional Care,Nursing Home Capacity Score (0-100),20.41,"Medicare/Medicaid certified beds per 1,000 residents aged 65+","50 per 1,000 residents 65+",40.8,CMS Care Compare — Nursing Home Provider Information,April 2026
sacramento,63.3,Social & Relational Care,Religious Institution Density Score (0-100),58.11,"congregations per 100,000 residents","150 per 100,000",38.7,ARDA U.S. Religion Census,2020
sacramento,63.3,Social & Relational Care,Residential Stability Score (0-100),85.36,% of population in same home 1+ year,95%,89.9,"U.S. Census Bureau, ACS 5-year estimates (B07003)",2022 (2018-2022 pooled)
